Mod_ID,Modal,Modal_Slug,Brand_ID,Body_Type,Status_Modal
1,595,595,302,Hatchback,Draft
2,595,595,302,Hatchback,Publish
3,595,595,302,Hatchback,Publish
4,695,695,302,Hatchback,Publish
5,695,695,302,Hatchback,Publish
6,Giulia,giulia,297,Sedan,Publish
7,Giulia,giulia,297,Sedan,Publish
8,Stelvio,stelvio,297,SUV,Publish
9,Stelvio,stelvio,297,SUV,Publish
10,Tonale,tonale,297,SUV,Publish
11,Giulietta,giulietta,297,,Publish
12,Giulietta,giulietta,297,,Publish
13,DBX,dbx,276,SUV,Publish
14,Valhalla,valhalla,276,Coupe,Publish
15,DB11,db11,276,Coupe,Publish
16,DB11,db11,276,Coupe,Publish
17,DBS,dbs,276,Coupe,Publish
18,DBS,dbs,276,Coupe,Publish
19,"DBS Superleggera Volante",dbs-superleggera-volante,276,Convertible,Publish
20,Vantage,vantage,276,Coupe,Publish
21,Vantage,vantage,276,Coupe,Publish
22,"Vantage Roadster",vantage-roadster,276,Roadster,Publish
23,"Rapide AMR",rapide-amr,276,,Publish
24,"RS6 Avant",rs6-avant,277,"Station Wagon",Publish
25,"Q3 Sportback",q3-sportback,277,Sportback,Publish
26,A6,a6,277,Sedan,Publish
27,A6,a6,277,Sedan,Publish
28,Q8,q8,277,SUV,Publish
29,Q8,q8,277,SUV,Publish
30,"A7 Sportback",a7-sportback,277,Sportback,Publish
31,"A7 Sportback",a7-sportback,277,Sportback,Publish
32,"A3 Sedan",a3-sedan,277,Sedan,Publish
33,"S3 Sedan",s3-sedan,277,Sedan,Publish
34,Q2,q2,277,SUV,Publish
35,"S3 Sportback",s3-sportback,277,Sportback,Publish
36,"RS 3 Sportback",rs-3-sportback,277,Sportback,Publish
37,"S5 Sportback",s5-sportback,277,Sportback,Publish
38,"RS Q3",rs-q3,277,SUV,Publish
39,"RS Q8",rs-q8,277,SUV,Publish
40,SQ8,sq8,277,SUV,Publish
41,"e-tron Sportback",e-tron-sportback,277,Sportback,Publish
42,"e-tron Sportback",e-tron-sportback,277,Sportback,Publish
43,"RS3 Sedan",rs3-sedan,277,Sedan,Publish
44,"RS5 Sportback",rs5-sportback,277,Sportback,Publish
45,"Q5 Sportback",q5-sportback,277,Sportback,Publish
46,"RS Q3 Sporback",rs-q3-sporback,277,Sportback,Publish
47,"Q8 e-tron",q8-e-tron,277,SUV,Publish
48,"A5 Sportback",a5-sportback,277,Sportback,Publish
49,Q3,q3,277,SUV,Publish
50,"A5 Sportback",a5-sportback,277,Sportback,Publish
51,A4,a4,277,Sedan,Publish
52,"A5 Coupe",a5-coupe,277,Coupe,Publish
53,TT,tt,277,Coupe,Publish
54,"TT Roadster",tt-roadster,277,Roadster,Publish
55,"A5 Cabriolet",a5-cabriolet,277,Convertible,Publish
56,TT,tt,277,Coupe,Publish
57,Q5,q5,277,SUV,Publish
58,Q7,q7,277,SUV,Publish
59,Q7,q7,277,SUV,Publish
60,S6,s6,277,Sedan,Publish
61,S6,s6,277,Sedan,Publish
62,A8,a8,277,Sedan,Publish
63,"RS5 Coupe",rs5-coupe,277,Coupe,Publish
64,A8,a8,277,Sedan,Publish
65,RS7,rs7,277,Sedan,Publish
66,S8,s8,277,Sedan,Publish
67,"R8 Coupe",r8-coupe,277,Coupe,Publish
68,"R8 Coupe",r8-coupe,277,Coupe,Publish
69,BJ40,bj40,299,SUV,Publish
70,X35,x35,299,SUV,Publish
71,X35,x35,299,SUV,Publish
72,"BJ40 Plus",bj40-plus,299,SUV,Publish
73,"BJ40 Plus",bj40-plus,299,SUV,Publish
74,"BJ40 Plus",bj40-plus,299,SUV,Publish
75,BJ80,bj80,299,SUV,Publish
76,BJ80,bj80,299,SUV,Publish
77,X7,x7,299,SUV,Publish
78,X7,x7,299,SUV,Publish
79,X7,x7,299,SUV,Publish
80,D50,d50,299,Sedan,Publish
81,D50,d50,299,Sedan,Publish
82,X55,x55,299,SUV,Publish
83,"BJ40 C",bj40-c,299,SUV,Publish
84,BJ60,bj60,299,SUV,Publish
85,"EXP 100 GT",exp-100-gt,303,Sedan,Publish
86,"Flying Spur",flying-spur,303,Sedan,Publish
87,"Flying Spur",flying-spur,303,Sedan,Publish
88,Bentayga,bentayga,303,SUV,Publish
89,Bentayga,bentayga,303,SUV,Publish
90,Bentayga,bentayga,303,SUV,Publish
91,"Continental GT",continental-gt,303,Coupe,Publish
92,"Flying Spur",flying-spur,303,Sedan,Publish
93,"Continental GT Convertible",continental-gt-convertible,303,Convertible,Publish
94,"Continental GT",continental-gt,303,Coupe,Publish
95,Mulsanne,mulsanne,303,,Publish
96,Mulsanne,mulsanne,303,,Publish
97,Mulsanne,mulsanne,303,,Publish
98,T33,t33,308,Crossover,Publish
99,"T77 Pro",t77-pro,308,SUV,Publish
100,"T77 Pro",t77-pro,308,SUV,Publish
101,"T77 Pro",t77-pro,308,SUV,Publish
102,T99,t99,308,SUV,Publish
103,T99,t99,308,SUV,Publish
104,T99,t99,308,SUV,Publish
105,B70S,b70s,308,SUV,Publish
106,B70S,b70s,308,SUV,Publish
107,B70S,b70s,308,SUV,Publish
108,B70S,b70s,308,SUV,Publish
109,B70,b70,308,Sedan,Publish
110,B70,b70,308,Sedan,Publish
111,B70,b70,308,Sedan,Publish
112,X5,x5,289,SUV,Publish
113,X5,x5,289,SUV,Publish
114,X5,x5,289,SUV,Publish
115,X5,x5,289,SUV,Publish
116,"8 Series Coupe",8-series-coupe,289,Coupe,Publish
117,"6 Series Gran Turismo",6-series-gran-turismo,289,Sedan,Publish
118,X2,x2,289,"Crossover SUV",Publish
119,"8 Series Convertible",8-series-convertible,289,Convertible,Publish
120,"M2 Competition",m2-competition,289,Sedan,Publish
121,X7,x7,289,SUV,Publish
122,X7,x7,289,SUV,Publish
123,X7,x7,289,SUV,Publish
124,X7,x7,289,SUV,Publish
125,"8 Series Gran Coupe",8-series-gran-coupe,289,Sedan,Publish
126,"8 Series Gran Coupe",8-series-gran-coupe,289,Sedan,Publish
127,"M8 Gran Coupe",m8-gran-coupe,289,Coupe,Publish
128,IX,ix,289,SUV,Publish
129,IX,ix,289,SUV,Publish
130,iX3,ix3,289,SUV,Publish
131,i7,i7,289,Sedan,Publish
132,XM,xm,289,SUV,Publish
133,"1 Series",1-series,289,Hatchback,Publish
134,"1 Series",1-series,289,Hatchback,Publish
135,X1,x1,289,"Crossover SUV",Publish
136,"2 Series Coupe",2-series-coupe,289,Coupe,Publish
137,"2 Series Grand Coupe",2-series-grand-coupe,289,Sedan,Publish
138,"5 Series",5-series,289,Sedan,Publish
139,"5 Series",5-series,289,Sedan,Publish
140,"5 Series",5-series,289,Sedan,Publish
141,"Z4 Roadster",z4-roadster,289,Roadster,Publish
142,"Z4 Roadster",z4-roadster,289,Roadster,Publish
143,"2 Series Convertible",2-series-convertible,289,Convertible,Publish
144,"4 Series Coupe",4-series-coupe,289,Coupe,Publish
145,"4 Series Coupe",4-series-coupe,289,Coupe,Publish
146,"4 Series Coupe",4-series-coupe,289,Coupe,Publish
147,"4 Series Gran Coupe",4-series-gran-coupe,289,Sedan,Publish
148,"4 Series Gran Coupe",4-series-gran-coupe,289,Sedan,Publish
149,"3 Series",3-series,289,Sedan,Publish
150,"3 Series",3-series,289,Sedan,Publish
151,X4,x4,289,SUV,Publish
152,"Z4 Roadster",z4-roadster,289,Roadster,Publish
153,X3,x3,289,SUV,Publish
154,X6,x6,289,SUV,Publish
155,X6,x6,289,SUV,Publish
156,"7 Series",7-series,289,Sedan,Publish
157,"M3 Sedan",m3-sedan,289,Sedan,Publish
158,"M4 Coupe",m4-coupe,289,Coupe,Publish
159,"M4 Coupe",m4-coupe,289,Coupe,Publish
160,"M4 Convertible",m4-convertible,289,Convertible,Publish
161,X6,x6,289,SUV,Publish
162,"M5 Sedan",m5-sedan,289,Sedan,Publish
163,"7 Series",7-series,289,Sedan,Publish
164,"7 Series",7-series,289,Sedan,Publish
165,"7 Series",7-series,289,Sedan,Publish
166,i8,i8,289,Coupe,Publish
167,"i8 Roadster",i8-roadster,289,Roadster,Publish
168,"7 Series",7-series,289,Sedan,Publish
169,BX7,bx7,293,SUV,Publish
170,BX7,bx7,293,SUV,Publish
171,BX5,bx5,293,SUV,Publish
172,BX5,bx5,293,SUV,Publish
173,BX5,bx5,293,SUV,Publish
174,"BX7 TS",bx7-ts,293,SUV,Publish
175,Chiron,chiron,325,Coupe,Publish
176,Chiron,chiron,325,Coupe,Publish
177,"Atto 3",atto-3,249,SUV,Publish
178,"Qin Pro",qin-pro,249,Sedan,Publish
179,"Qin Pro",qin-pro,249,Sedan,Publish
180,"Song Pro",song-pro,249,SUV,Publish
181,"Song Pro",song-pro,249,SUV,Publish
182,Tang,tang,249,SUV,Publish
183,Tang,tang,249,SUV,Publish
184,"Song Plus",song-plus,249,SUV,Publish
185,F3,f3,249,Sedan,Publish
186,F3,f3,249,Sedan,Publish
187,"CT4-V Blackwing",ct4-v-blackwing,267,Sedan,Publish
188,XT4,xt4,267,SUV,Publish
189,XT4,xt4,267,SUV,Publish
190,XT4,xt4,267,SUV,Publish
191,"CTS-V Sedan",cts-v-sedan,267,,Publish
192,"CTS-V Sedan",cts-v-sedan,267,,Publish
193,XT6,xt6,267,SUV,Publish
194,XT6,xt6,267,SUV,Publish
195,CT5,ct5,267,Sedan,Publish
196,CT5,ct5,267,Sedan,Publish
197,CT5,ct5,267,Sedan,Publish
198,CT5,ct5,267,Sedan,Publish
199,CT4,ct4,267,Sedan,Publish
200,CT4,ct4,267,Sedan,Publish
201,CT4,ct4,267,Sedan,Publish
202,"CT5-V Blackwing",ct5-v-blackwing,267,Sedan,Publish
203,XT5,xt5,267,SUV,Publish
204,XT5,xt5,267,SUV,Publish
205,XT5,xt5,267,SUV,Publish
206,XT5,xt5,267,SUV,Publish
207,CTS,cts,267,Sedan,Publish
208,CTS,cts,267,Sedan,Publish
209,CTS,cts,267,Sedan,Publish
210,"ATS Coupe",ats-coupe,267,,Publish
211,"ATS-V Coupe",ats-v-coupe,267,,Publish
212,"ATS-V Coupe",ats-v-coupe,267,,Publish
213,"ATS Coupe",ats-coupe,267,,Publish
214,CTS,cts,267,Sedan,Publish
215,CTS,cts,267,Sedan,Publish
216,CTS,cts,267,Sedan,Publish
217,XTS,xts,267,,Publish
218,"ATS-V Sedan",ats-v-sedan,267,,Publish
219,"ATS-V Sedan",ats-v-sedan,267,,Publish
220,XTS,xts,267,,Publish
221,Escalade,escalade,267,SUV,Publish
222,Escalade,escalade,267,SUV,Publish
223,Escalade,escalade,267,SUV,Publish
224,UNI-T,uni-t,252,SUV,Publish
225,UNI-T,uni-t,252,SUV,Publish
226,UNI-K,uni-k,252,SUV,Publish
227,"CS75 Plus",cs75-plus,252,SUV,Publish
228,"CS75 Plus",cs75-plus,252,SUV,Publish
229,CS85,cs85,252,SUV,Publish
230,CS95,cs95,252,SUV,Publish
231,CS95,cs95,252,SUV,Publish
232,CS95,cs95,252,SUV,Publish
233,"Eado Plus",eado-plus,252,Sedan,Publish
234,"Eado Plus",eado-plus,252,Sedan,Publish
235,"Eado Plus",eado-plus,252,Sedan,Publish
236,Hunter,hunter,252,"Pick up Truck",Publish
237,Hunter,hunter,252,"Pick up Truck",Publish
238,Hunter,hunter,252,"Pick up Truck",Publish
239,Hunter,hunter,252,"Pick up Truck",Publish
240,Alsvin,alsvin,252,Sedan,Publish
241,Alsvin,alsvin,252,Sedan,Publish
242,UNI-V,uni-v,252,Sedan,Publish
243,"CS35 Plus",cs35-plus,252,SUV,Publish
244,"CS35 Plus",cs35-plus,252,SUV,Publish
245,"CS35 Plus",cs35-plus,252,SUV,Publish
246,"Tiggo2 Pro Max",tiggo2-pro-max,251,"Crossover SUV",Publish
247,Arrizo6,arrizo6,251,Sedan,Publish
248,Arrizo6,arrizo6,251,Sedan,Publish
249,Tiggo8,tiggo8,251,SUV,Publish
250,Tiggo8,tiggo8,251,SUV,Publish
251,"Tiggo 2",tiggo-2,251,"Crossover SUV",Publish
252,"Tiggo 2",tiggo-2,251,"Crossover SUV",Publish
253,"Tiggo 2",tiggo-2,251,"Crossover SUV",Publish
254,"Tiggo 2",tiggo-2,251,"Crossover SUV",Publish
255,"Arrizo 3",arrizo-3,251,Sedan,Publish
256,"Arrizo 3",arrizo-3,251,Sedan,Publish
257,Tiggo7,tiggo7,251,SUV,Publish
258,"Tiggo7 Pro",tiggo7-pro,251,SUV,Publish
259,"Tiggo7 Pro",tiggo7-pro,251,SUV,Publish
260,"Tiggo7 Pro",tiggo7-pro,251,SUV,Publish
261,"Tiggo7 Pro",tiggo7-pro,251,SUV,Publish
262,"Tiggo7 Pro",tiggo7-pro,251,SUV,Publish
263,"Tiggo8 Pro",tiggo8-pro,251,SUV,Publish
264,"Tiggo8 Pro",tiggo8-pro,251,SUV,Publish
