ID,Variant_ID,Acoustic_Hood,Adaptive_Headlights,Automatic_Headlight_Range_Control,High_Mount_Stop_Lamp,Lock_and_Unlock_Sensing_Auto_Electric_Folding_Mirror,Roof_Spoiler,Illuminated_Door_handles,Power_Tailgate,Puddle_Lamp,LED_Taillights,Auto_Headlamps,Headlight_Washers,Electric_Opening_and_Closing_of_Luggage_Door,LED_Headlights,Off_Road_tyres,Wheels,Chrome_Exhaust_Pipes,LED_foglights,Off_Road_Dampers,Rear_Wiper,Power_Windows,Chrome_Door_Handles,Chrome_Plated_Radiator_Grille,Chrome_Door_Mirrors,Door_Mirrors_with_Side_Turn_Signal,Rear_Window_Defogger,Daytime_Running_Lights,Electric_Door_Mirrors,Acoustic_Front_Windshield,Alloy_Pedals,Aluminum_Wheels,Body_Colored_Grille,Door_Reflectors,Dual_Exhaust_Tip,Fog_Lamp,Front_Bumper___Normal,HID_Headlights,Rear_Brakes,Roof_Rails,Running_Board,Sonar,Sports_Exhaust_System,Tailgate_with_Hatch,Towing_Hook,Wheel_Size,Bumper_Side_Step,Frameless_Doors,Front_Brakes,Wind_Blocker,Fog_Lamps,Halogen_Headlamps,Manual_Headlamps,Car_Wheels
1,161,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,123,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
3,122,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,129,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
5,155,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
6,124,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
7,121,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,154,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
9,128,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
10,151,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
