ID,Variant_ID,Length,Width,Height,Wheelbase,Trunk_Capacity
1,1539,3.235,1.395,1.395,1.84,
2,678,3.67,1.68,1.48,2.425,252
3,1316,4.21,1.8,1.595,2.636,251
4,1487,4.232,1.778,1.566,2.626,530
5,513,4.68,1.785,1.46,2.67,470
6,270,4.2,1.76,1.57,2.555,341
7,1624,4.03,1.71,1.635,2.525,369
8,289,4.474,1.73,1.471,2.6,
9,290,4.474,1.73,1.471,2.6,
10,291,4.474,1.73,1.471,2.6,
11,271,4.68,1.785,1.46,2.67,470
12,514,4.2,1.76,1.57,2.555,341
13,272,4.2,1.76,1.57,2.555,341
14,680,3.765,1.66,1.52,2.425,252
15,1268,4.245,1.67,1.515,2.55,450
16,1269,4.245,1.67,1.515,2.55,450
17,1732,4.255,1.79,1.452,2.637,380
18,1534,3.84,1.735,1.495,2.45,265
19,1541,3.995,1.735,1.515,2.45,378
20,1263,3.795,1.665,1.51,2.45,209
21,1262,3.795,1.665,1.51,2.45,209
22,1535,3.84,1.735,1.495,2.45,265
23,1540,3.995,1.735,1.515,2.45,378
24,866,3.595,1.595,1.495,2.4,255
25,679,3.67,1.68,1.48,2.425,252
26,1731,4.213,1.786,1.493,2.578,275
27,1623,4.03,1.71,1.635,,
28,1358,4.3,1.7,1.54,2.605,545
29,1360,4.3,1.7,1.54,2.605,545
30,1374,4.055,1.96,1.43,2.54,311
31,1357,4.3,1.987,1.55,,434
32,1373,4.055,1.96,1.43,2.54,311
33,1359,4.3,1.987,1.55,2.605,343
34,1633,4.425,1.74,1.48,2.5,
35,1634,4.425,1.74,1.48,2.5,
36,1632,4.425,1.74,1.48,2.5,
37,1486,4.232,1.778,1.566,2.626,530
38,1485,4.232,1.778,1.566,2.626,530
39,475,4.35,1.825,1.68,2.56,370
40,484,4.692,1.805,1.5,2.66,480
41,1245,4.314,1.809,1.624,2.585,448
42,867,4.365,1.72,1.455,2.57,288
43,1734,4.486,1.839,1.632,2.681,810
44,1735,4.258,1.799,1.492,2.62,380
45,1533,3.89,1.735,1.495,2.45,268
46,395,3.546,1.627,1.488,2.3,185
47,396,3.546,1.627,1.488,2.3,185
48,842,4.3,1.7,1.46,2.57,475
49,294,3.636,1.597,1.483,2.385,314
50,295,3.636,1.597,1.483,2.385,314
51,841,4.3,1.7,1.46,2.57,475
52,844,4.065,1.725,1.46,2.58,492
53,1733,4.486,1.839,1.632,2.681,615
54,1742,4.256,1.81,1.404,2.578,292
55,1727,4.24,1.819,1.573,2.603,445
56,1729,4.24,1.819,1.573,2.603,445
57,1728,4.24,1.819,1.573,2.603,445
58,173,4.49,1.877,1.675,2.685,500
59,2,3.66,1.627,1.485,2.3,185
60,1,3.66,1.627,1.485,2.3,185
61,394,4.248,1.796,1.6,2.57,245
